aX,aY,aZ,gX,gY,gZ
0.569,-0.370,2.741,-126.099,49.622,49.927
0.443,-0.165,2.833,-127.197,82.458,41.931
0.186,-0.086,2.527,3.845,169.373,15.442
-0.218,0.051,1.379,54.199,189.087,30.334
-0.195,0.241,0.980,48.767,177.734,54.443
-0.147,0.577,0.812,-149.231,114.197,50.110
-0.148,1.092,0.834,-227.051,106.812,4.517
-0.637,1.811,-0.156,-208.740,135.620,-60.669
-1.125,1.854,-2.064,-98.083,174.499,-118.103
-1.406,2.148,-3.803,120.483,39.368,-124.756
-0.887,2.121,-3.747,74.890,-148.071,-134.766
-0.575,1.010,-2.328,-8.179,-318.909,-168.335
-0.376,-0.743,-0.762,-77.393,-420.471,-123.596
-0.208,-2.372,0.984,-145.325,-396.240,33.569
-0.107,-1.060,4.000,-149.963,-339.111,226.074
-0.245,0.776,4.000,-25.696,-260.864,325.256
-0.142,1.259,4.000,51.147,-97.656,47.058
0.439,-0.668,3.496,7.996,-18.311,-101.624
0.433,-0.653,2.972,49.438,51.941,-129.761
0.280,-0.258,2.143,319.397,168.518,-78.918
0.140,-0.075,1.201,366.516,174.499,-57.129
0.042,0.080,0.416,306.335,137.817,-26.733
0.034,0.212,0.641,192.261,87.219,0.610
0.053,0.258,0.905,32.410,42.114,8.850
0.098,0.106,0.984,12.573,33.508,3.662
0.077,0.074,0.980,2.319,16.724,4.272
0.036,0.110,1.011,43.579,-16.357,9.949
-0.029,0.201,0.949,111.694,-21.851,8.301
-0.034,0.224,0.886,172.974,-26.184,1.465
-0.033,0.186,0.858,213.745,-32.471,-9.216
-0.025,0.128,0.864,196.045,-45.898,-20.020
0.007,0.078,0.889,156.677,-45.959,-21.118
0.017,0.075,0.897,119.202,-38.330,-22.644
0.018,0.092,0.872,14.526,-14.343,-26.062
0.030,0.066,0.840,-61.951,-10.437,-27.222
0.035,0.060,0.855,-128.052,-11.963,-23.865
0.036,0.122,0.867,-177.002,-13.245,-9.033
0.030,0.219,0.859,-174.072,-8.667,-9.888
0.014,0.269,0.769,-179.687,-5.676,-15.320
0.015,0.255,0.760,-191.467,-7.385,-20.935
0.022,0.233,0.780,-174.194,-10.132,-29.114
0.011,0.211,0.823,-137.878,-9.033,-30.151
-0.004,0.207,0.908,-80.444,-9.521,-28.259
-0.020,0.217,0.962,10.925,-9.949,-21.179
-0.033,0.214,0.974,5.981,-12.451,-22.278
-0.057,0.174,1.050,-3.845,-14.587,-25.391
-0.075,0.198,1.071,0.854,-11.658,-29.053
-0.076,0.204,1.039,17.334,1.465,-41.016
-0.050,0.119,1.017,5.188,2.869,-44.800
-0.049,0.107,1.076,-14.099,2.502,-44.250
-0.050,0.124,1.096,-29.053,12.634,-40.283
-0.049,0.163,1.058,-25.146,18.860,-40.039
-0.038,0.233,0.939,-20.935,21.851,-40.955
-0.035,0.276,0.912,-17.944,21.606,-42.542
-0.031,0.305,0.916,-23.743,16.663,-50.354
-0.041,0.349,0.952,-30.640,14.587,-54.443
-0.043,0.343,0.975,-32.959,12.756,-58.228
-0.037,0.321,0.972,-10.742,12.939,-63.354
-0.026,0.312,0.916,-1.343,12.878,-65.369
-0.008,0.312,0.804,-2.319,9.460,-67.627
-0.009,0.326,0.798,-10.254,3.845,-70.557
-0.003,0.291,0.809,-26.489,-6.531,-79.102
0.006,0.204,0.903,-29.114,-8.911,-79.285
-0.005,0.234,0.903,-26.855,-8.179,-76.965
-0.012,0.267,0.868,-17.944,-7.019,-76.782
-0.008,0.265,0.833,-19.653,-9.705,-78.735
0.000,0.225,0.858,-23.865,-13.000,-79.346
-0.003,0.218,0.856,-26.245,-14.832,-78.796
-0.004,0.200,0.830,-11.902,-16.174,-77.820
-0.003,0.158,0.801,6.226,-17.456,-77.454
0.001,0.125,0.808,22.827,-19.165,-77.209
0.009,0.073,0.830,28.381,-24.048,-75.684
0.021,0.017,0.861,22.705,-25.757,-72.571
0.031,0.013,0.840,21.484,-25.879,-68.970
0.030,0.027,0.801,26.917,-26.550,-66.833
0.030,0.033,0.775,39.307,-34.973,-66.528
0.031,-0.024,0.778,33.203,-41.992,-67.261
0.030,-0.055,0.788,23.499,-48.462,-67.200
0.032,-0.087,0.792,14.343,-56.946,-65.308
0.038,-0.125,0.805,15.625,-59.204,-62.927
0.042,-0.156,0.808,17.151,-60.303,-59.021
0.038,-0.145,0.806,14.465,-62.256,-54.138
0.027,-0.131,0.833,-2.136,-70.007,-44.189
-0.006,-0.104,0.924,-5.676,-72.266,-39.917
-0.027,-0.070,0.938,-0.183,-71.960,-36.255
-0.046,-0.046,0.933,20.264,-70.923,-31.738
-0.064,-0.038,0.943,25.940,-71.716,-29.907
