aX,aY,aZ,gX,gY,gZ
0.469,3.724,-4.000,394.531,44.373,-88.013
0.446,2.208,-4.000,173.462,-178.406,-243.408
0.144,-0.228,-3.026,164.429,-466.248,-344.849
-0.888,-2.970,0.233,323.425,-511.780,-238.464
-1.580,-2.609,2.338,414.795,-526.001,-104.919
-2.138,-1.633,3.970,198.547,-386.841,-24.719
-2.300,-1.071,4.000,-5.920,-219.727,-102.051
-1.494,-2.488,3.253,-152.893,-67.017,-173.889
-0.986,-2.907,2.268,-195.618,22.400,-173.584
-0.655,-2.436,1.626,-98.633,54.810,-27.161
-0.358,-0.689,1.186,-70.374,54.626,18.066
-0.227,-0.269,1.016,-75.073,57.678,23.499
-0.106,-0.099,0.749,-97.412,55.664,-2.258
-0.023,-0.019,0.500,-90.698,40.405,-7.935
0.010,0.062,0.340,-70.618,19.470,-8.179
-0.026,0.094,0.404,-43.701,-1.587,-5.859
-0.072,0.096,0.502,2.258,-32.898,-6.409
-0.143,0.020,0.761,13.000,-44.128,-7.996
-0.180,0.054,0.868,18.982,-49.683,-9.094
-0.215,0.084,0.889,14.648,-52.124,-23.132
-0.244,0.091,0.974,6.958,-53.528,-34.180
-0.265,-0.033,1.057,2.686,-48.889,-44.373
-0.263,-0.121,1.029,-0.488,-43.396,-51.025
-0.268,-0.172,1.012,-8.667,-38.879,-53.467
-0.298,-0.182,0.911,-9.827,-36.804,-54.199
-0.315,-0.222,0.864,-11.414,-36.438,-56.702
-0.333,-0.290,0.856,-17.334,-41.321,-59.570
-0.350,-0.388,0.893,-22.888,-44.739,-56.030
-0.395,-0.564,1.173,-32.104,-47.363,-47.424
-0.430,-0.550,1.341,-39.490,-44.861,-35.034
-0.464,-0.487,1.462,-41.077,-19.531,-12.817
-0.501,-0.425,1.706,-44.861,-0.916,-6.653
-0.508,-0.465,1.824,-51.453,21.545,-2.014
-0.519,-0.515,1.901,-64.636,74.341,12.756
-0.541,-0.493,1.910,-63.721,103.882,21.790
-0.592,-0.217,1.633,-54.810,133.667,26.855
-0.570,-0.084,1.391,-43.884,157.471,26.306
-0.508,-0.041,1.219,-39.490,171.265,14.465
-0.343,-0.148,1.128,-44.739,169.373,9.460
-0.260,-0.256,1.095,-50.354,168.579,7.568
-0.193,-0.349,1.085,-48.584,169.128,20.569
-0.150,-0.362,1.106,-35.278,172.363,33.813
-0.140,-0.115,0.920,-18.860,176.758,46.143
-0.132,0.102,0.753,-8.789,175.720,52.673
-0.100,0.246,0.629,-21.606,154.541,36.499
0.029,0.188,0.471,-33.325,140.991,20.508
0.112,-0.014,0.438,-40.894,126.770,6.775
0.185,-0.220,0.463,-37.354,96.680,8.667
0.230,-0.326,0.537,-29.236,84.656,22.583
0.222,-0.164,0.596,-20.935,75.928,37.170
0.188,0.065,0.586,-15.930,67.810,46.448
0.167,0.258,0.587,-24.414,48.096,34.546
0.213,0.177,0.637,-36.194,37.476,18.311
0.251,-0.014,0.682,-46.021,28.687,6.104
0.266,-0.123,0.714,-38.818,20.508,9.399
0.255,-0.101,0.730,-27.283,18.494,16.602
0.214,0.092,0.768,-19.775,15.869,20.508
0.205,0.145,0.789,-17.761,12.695,20.081
0.199,0.152,0.795,-19.470,7.080,12.512
0.175,0.126,0.768,-20.813,3.784,8.972
0.152,0.130,0.782,-23.132,-1.160,6.714
0.123,0.164,0.843,-25.574,-12.268,5.371
0.088,0.231,0.923,-24.231,-14.038,3.235
0.015,0.361,0.967,-24.048,-13.977,-1.770
-0.020,0.395,0.988,-26.184,-14.526,-8.911
-0.059,0.420,1.029,-28.015,-16.541,-24.536
-0.136,0.484,1.159,-24.170,-16.663,-31.433
-0.161,0.536,1.232,-18.005,-14.709,-38.269
-0.168,0.579,1.278,-6.226,-1.770,-54.993
-0.161,0.607,1.272,-0.488,7.385,-64.636
-0.115,0.634,1.089,4.700,15.076,-75.134
-0.086,0.630,0.994,8.667,19.287,-86.426
-0.060,0.630,0.915,15.381,19.043,-108.398
-0.006,0.593,0.861,16.907,14.893,-119.629
0.047,0.451,0.890,17.700,10.498,-131.470
0.120,0.241,0.925,22.766,7.935,-141.357
0.187,0.058,0.950,28.564,9.827,-135.071
0.214,0.008,0.954,35.950,12.634,-126.221
0.199,0.031,0.936,41.748,15.320,-120.728
0.191,0.003,0.913,33.875,15.198,-121.704
0.204,-0.210,0.883,24.963,13.611,-124.268
0.227,-0.357,0.877,21.484,13.184,-125.244
0.249,-0.484,0.859,25.940,15.381,-117.371
0.271,-0.639,0.840,27.954,15.686,-109.192
0.280,-0.691,0.856,28.259,15.503,-99.915
0.292,-0.736,0.886,26.428,15.503,-90.210
0.309,-0.765,0.917,22.278,18.127,-69.031
0.345,-0.746,0.934,20.386,20.630,-57.922
0.354,-0.690,0.956,15.747,22.583,-47.607
0.356,-0.620,0.986,-5.676,26.672,-33.630
0.366,-0.512,0.934,-17.700,29.968,-30.273
0.388,-0.507,0.849,-27.283,32.959,-28.503
0.407,-0.502,0.734,-34.851,34.302,-26.428
0.411,-0.443,0.593,-44.678,27.222,-19.592
0.382,-0.284,0.374,-46.509,16.479,-18.616
0.368,-0.251,0.367,-45.288,2.380,-19.653
0.350,-0.237,0.384,-34.668,-24.963,-22.644
0.285,-0.097,0.350,-27.649,-37.048,-25.269
0.251,-0.034,0.297,-21.851,-49.805,-31.128
0.214,0.031,0.233,-19.287,-64.209,-39.063
0.166,0.142,0.142,-23.132,-98.999,-60.852
0.023,0.506,-0.063,-22.888,-121.582,-79.895
-0.053,0.571,-0.081,-21.484,-149.963,-106.323
-0.114,0.481,0.041,-7.324,-211.609,-159.729
-0.187,0.062,0.338,8.606,-232.178,-174.011
-0.221,-0.145,0.454,22.156,-247.192,-177.063
-0.267,-0.276,0.604,41.809,-267.090,-157.532
-0.337,-0.304,0.715,56.458,-271.667,-143.738
-0.533,-0.177,0.919,69.580,-276.367,-133.301
-0.604,-0.209,1.122,74.341,-278.931,-128.174
-0.640,-0.330,1.383,65.247,-261.353,-120.239
-0.665,-0.588,1.860,52.856,-239.380,-109.741
-0.693,-0.551,1.937,38.208,-209.290,-95.093
-0.738,-0.404,1.848,22.034,-136.780,-78.247
-0.785,-0.240,1.636,16.907,-105.774,-82.886
-0.810,-0.240,1.163,8.911,-84.595,-92.651
-0.781,-0.433,1.046,-0.427,-73.547,-100.037
-0.743,-0.652,1.023,-8.179,-64.880,-87.830
-0.702,-0.879,1.100,-5.249,-59.692,-69.092
-0.702,-0.873,1.111,-2.014,-52.002,-47.791
-0.705,-0.899,1.139,-17.151,-35.461,-10.132
-0.706,-0.949,1.188,-32.349,-23.926,9.521
-0.703,-1.094,1.178,-50.232,-11.230,30.579
-0.720,-1.070,1.126,-67.383,0.000,54.260
-0.740,-1.029,1.080,-81.177,21.179,102.234
-0.765,-1.076,1.168,-88.257,31.372,125.000
-0.767,-1.190,1.266,-101.624,43.945,147.705
-0.780,-1.353,1.313,-139.587,85.937,200.439
-0.825,-1.483,1.272,-155.884,112.305,235.107
-1.029,-1.405,0.907,-162.354,137.024,273.865
-1.147,-1.120,0.587,-157.410,153.992,312.927
-1.219,-0.709,0.248,-137.756,144.531,360.718
-1.171,-0.106,-0.082,-138.733,118.530,360.413
-1.113,-0.009,0.033,-147.400,85.876,351.257
-1.077,0.033,0.380,-130.066,40.405,332.703
-1.054,0.096,0.790,-89.661,45.410,324.951
-1.010,0.328,1.056,-52.734,59.082,316.467
-1.003,0.712,1.010,-32.532,69.092,305.725
-0.964,1.177,0.874,-40.955,69.641,235.474
-0.711,1.231,0.669,-65.918,57.495,174.072
-0.559,0.815,0.682,-90.149,43.091,116.943
-0.443,0.359,0.763,-96.863,22.400,72.571
-0.384,0.075,0.891,-73.914,20.447,84.229
-0.426,0.265,0.971,-42.725,23.743,102.112
-0.463,0.562,0.920,-16.174,26.550,112.427
-0.472,0.786,0.896,-4.089,19.165,89.355
-0.429,0.843,0.890,-12.817,12.939,63.965
-0.394,0.727,0.913,-24.658,6.775,37.720
-0.346,0.538,0.964,-43.335,-0.061,-0.793
-0.298,0.333,0.999,-43.823,1.038,-6.653
0.626,0.054,-2.778,-21.240,-121.704,-96.436
0.431,-0.926,-1.539,-3.723,-257.507,-114.624
0.098,-1.701,-0.138,156.433,-374.207,-4.517
-0.775,-1.323,2.660,239.197,-362.305,87.585
-1.146,-0.237,3.743,276.550,-311.584,154.236
-1.333,0.796,4.000,156.128,-124.207,102.783
-1.303,1.190,4.000,21.057,-28.015,9.766
-0.779,-0.058,2.812,-100.281,49.316,-70.007
-0.466,-0.700,1.942,-159.119,103.760,-101.685
-0.228,-0.804,1.119,-106.995,140.869,-46.082
0.001,-0.068,0.160,-62.012,123.047,-14.771
0.049,0.172,0.162,-33.936,90.576,-3.967
0.079,0.196,0.348,-17.761,31.860,-16.357
0.085,0.158,0.552,-14.343,16.968,-20.935
0.044,0.179,0.716,-12.939,9.033,-24.597
0.018,0.147,0.762,-13.367,3.479,-28.870
-0.014,0.125,0.816,-2.502,-3.906,-31.860
-0.100,0.183,0.929,7.385,-5.737,-31.006
-0.151,0.247,0.986,16.785,-6.592,-30.640
-0.202,0.337,1.031,29.907,-5.676,-36.133
-0.245,0.430,1.059,29.114,-5.249,-44.373
-0.298,0.571,1.109,23.560,-5.005,-55.969
-0.313,0.602,1.120,16.602,-3.662,-70.129
-0.329,0.609,1.119,13.489,2.686,-100.403
-0.366,0.587,1.101,20.386,6.653,-114.441
-0.386,0.557,1.134,30.029,10.071,-127.014
-0.409,0.535,1.199,44.312,20.081,-148.621
-0.422,0.498,1.255,41.382,27.710,-160.828
-0.381,0.165,1.285,31.860,36.133,-171.509
-0.348,0.009,1.236,24.353,45.471,-176.392
-0.325,-0.087,1.141,22.034,61.035,-173.096
-0.326,-0.116,0.978,22.522,63.904,-171.509
-0.318,-0.176,0.903,23.071,64.331,-174.255
-0.279,-0.353,0.860,20.203,59.631,-184.021
-0.215,-0.605,0.864,15.991,56.946,-180.664
-0.057,-1.067,0.889,11.047,55.542,-168.213
0.006,-1.137,0.878,9.033,55.054,-147.339
0.044,-1.055,0.851,16.663,53.711,-99.243
0.071,-0.707,0.819,18.250,51.270,-83.862
0.078,-0.601,0.831,13.367,47.791,-77.026
0.094,-0.582,0.847,-4.333,41.687,-76.599
0.124,-0.634,0.860,-8.362,40.283,-74.585
0.198,-0.738,0.877,-9.460,40.039,-67.749
0.228,-0.717,0.874,-10.376,40.466,-57.373
0.251,-0.657,0.855,-13.916,42.786,-37.048
0.267,-0.482,0.755,-15.930,43.518,-29.663
0.266,-0.369,0.696,-19.592,41.809,-24.902
0.270,-0.291,0.658,-35.278,31.067,-25.635
0.281,-0.267,0.635,-43.091,24.841,-27.771
0.302,-0.286,0.572,-44.800,19.348,-27.893
0.299,-0.231,0.509,-39.734,14.099,-25.513
